,Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
22426,2017,The Crescent,Canadian,Seth A. Smith,"Danika Vandersteen, Woodrow Graves, Terrance Murray, Andrew Gillis, Britt Loder, Andrea Kenyon",horror,https://en.wikipedia.org/wiki/The_Crescent_(film),"After the death of her husband, Beth with her toddler son Lowen escape to a remote family beach house. There, Beth copes with her grief and the new struggles of single parenting by losing herself in her art, the process of paper marbling. Lowen also seems to be affected by the loss and frequently acts out in tantrums which causes Beth to further detach from him. After a series of hazardous mishaps in the new environment, the two begin to rebuild their bond. But a strange neighbor named Joseph seems intent on breaking up the two. And as a result of his meddling, Beth descends further into grief. In a rash act, she abandons Lowen by attempting to drown herself in the sea. Lowen finds himself alone, forced to fend for himself and save his mother from the ghoulish residents of the beach."
22425,2017,Charming,Canadian,Ross Venokur,,animated,https://en.wikipedia.org/wiki/Charming_(film),"The film explores the untold stories of Snow White, Cinderella, and Sleeping Beauty who discover that they are all engaged to the same Prince Charming. After a fairy spills a large amount of charm dust on Charming, Prince Charming, led by the heroine Lenore, a woman who is incapable of love,[3] must go on an epic journey to find his one truest of loves."
22424,2017,The Breadwinner,Canadian,Nora Twomey,"Saara Chaudry, Soma Chhaya, Laara Sadiq, Shaista Latif, Ali Badshah, Kawa Ada, Noorin Gulamgaus, Kane Mahon",animated,https://en.wikipedia.org/wiki/The_Breadwinner_(film),"Parvana is a young girl living in Kabul, Afghanistan, under control of Taliban. Her father Nurullah, who is a teacher handicapped during The Soviet–Afghan War and turned a hawker, is unjustly arrested after a volatile young member of the Taliban, Idrees, thinks he insulted him while the two are selling goods in the market in Kabul. Parvana's family is left without an adult male relative, as her elder brother Sulayman died years ago, leaving her, her mother Fattema, her sister Soraya and her baby brother Zaki without means to support the family, as they are not allowed to go out without a male relative. After Parvana unsuccessfully tries to procure food while going out as a girl, she decides to dress as a boy and pretend to be Nurullah's nephew, ""Aatish,"" in order to support the family. Parvana frequently entertains Zaki by telling the story of a young man on a journey to retrieve the seeds stolen by the evil Elephant King.
The ploy works, and Parvana is able to get food and money. On the advice of Shauzia, another young girl dressing as a boy to support her family, Parvana goes to the prison where her father is held to try to bribe the guards into letting her see him. The plan fails, and Parvana is driven away. She works to save money to get a larger bribe, taking on hard labor jobs with Shauzia, who is trying to save enough money to escape her abusive father. Meanwhile, Fattema is forced to write to a relative in Mazar-i-Sharif, offering Soraya up for marriage in exchange for shelter and protection. Parvana also meets Razaq, who was with Idrees when her father was arrested; the illiterate Razaq pays her to read him a letter that reveals that his wife, Hawla, was killed by a mine on the way to a wedding. He befriends her and continues to meet with her so that she can teach him to read and write.
Parvana and Shauzia take a hard labor job where Idrees is also in attendance. He recognizes her, and tries to kill her as she flees with Shauzia. Parvana and Shauzia manage to hide, and Idrees is abruptly called away to fight in a war that has just begun. When Parvana returns home, Fattema pleads with her to stop the dangerous ploy, telling her that her relatives accepted Soraya and that they will be collected the day after next. Parvana agrees on the condition that she visits Nurullah in prison to inform him where they will be living, as Razaq has a cousin that lives there that will let her in. She tearfully bids farewell to Shauzia, promising that they will meet 20 years from then. However, as Parvana travels to the prison, Fattema's cousin arrives early and forces them to come with him without Parvana, as the war is starting and the roads will soon be blocked. Fattema eventually stands up to her cousin, refusing to let him take them further, and he leaves the family stranded in the road.
Parvana arrives at the prison, where she finds Razaq. After Parvana reveals that she is Nurullah's daughter, Razaq informs her that his cousin has left to fight, but he will retrieve Nurullah; the prison is being cleared out of weak prisoners unable to fight, and Parvana witnesses their execution. A terrified Parvana gathers her courage to stay by finishing the tale of the boy, who she turns into Sulayman, revealing that he died after picking up a ""toy"" in the street, which was actually a land mine that exploded. Razaq is attacked while rescuing the weak Nurullah, but is wounded nonfatally and reunites father and daughter. Parvana takes Nurullah away, where they will soon reunite with the rest of the family, as the two continue the story they were telling each other at the start of the film."
22423,2017,"Bon Cop, Bad Cop 2",Canadian,Alain Desrochers,"Colm Feore, Patrick Huard","comedy, crime","https://en.wikipedia.org/wiki/Bon_Cop,_Bad_Cop_2","Following the events of the first film, Martin Ward (Feore) and David Bouchard (Huard) remained friends but have gradually grown apart as their lives and careers have taken them in different directions; Ward is now a senior officer with the Royal Canadian Mounted Police, while Bouchard remains undercover with the Sûreté du Québec. This time, their roles are reversed: Ward takes the lead, and has his turn experiencing challenges in his personal life. In the present day, the two are reunited to investigate a car theft ring which turns out to be a front for a much bigger terrorist plot.[6]
Critics say the film gave their audience exactly what they expected: humour, action and nostalgia. [7] Fans claim the actors display the same chemistry as the first film, and ratings reflect high satisfaction from viewers."
22422,2017,Beatriz at Dinner,Canadian,Miguel Arteta,"Salma Hayek, Chloë Sevigny, Connie Britton",comedy,https://en.wikipedia.org/wiki/Beatriz_at_Dinner,"The film opens with Beatriz (Salma Hayek) rowing a boat in a mangrove swamp where she encounters a white goat on the shore. Next, she is shown waking up, taking care of her animals, and heading off to work at a massage therapy center where she meets with her clients. She then drives to the house of a client, Kathy (Connie Britton), to give her a massage before her dinner party. During the massage, Beatriz tells Kathy that her neighbor had killed one of her goats and becomes emotional. Beatriz leaves and heads to her car, but is unable to start it. She tells Kathy that a friend will repair it when he gets out of work. Kathy invites Beatriz to stay for the dinner party. Kathy checks with her husband Grant (David Warshofsky), who objects because they are entertaining important business connections, but he ultimately agrees.
The first dinner guests, Shannon (Chloë Sevigny) and Alex (Jay Duplass), arrive, discussing how much money they will make off their business venture. Beatriz explores the house, meets them, and awkwardly introduces herself. Doug Strutt (John Lithgow) and Jeana (Amy Landecker) arrive, and everyone goes outside, where Kathy introduces Beatriz to the other women. She explains how they met: her and Grant's daughter Tara had cancer, and Beatriz helped Tara recover her strength after her medical treatment. Beatriz learns that her friend won't be able to come until morning. Kathy tells her to stay the night and asks her to sing a song after dinner.
Back outside, Grant, Alex, and Doug discuss potential titles for Doug's memoir. Doug mistakes Beatriz for one of the house staff and she shyly introduces herself. She tells Doug she thinks she might know or remember him from somewhere. Doug tells her he's famous and she could've seen him anywhere. Evan (John Early) comes outside to get them for dinner. During dinner, Doug talks about the building of his new business, where Alex warns him of potential protestors. Doug laughs it off. Beatriz begins to talk about her life, how she had to emigrate from Mexico when she was young. Doug asks if she came into the country legally. Jeana tells him to knock it off, and lets her finish. As the dinner proceeds, Beatriz leaves to call a family member, asking if Doug was the man they protested back in Mexico. When she returns to the table, she asks Doug if he had a hotel in her hometown; he doesn't recognize the name, but mentions he has other hotels there.
Beatriz tells him how the hotel being built promised jobs and opportunities for her community, but ended up destroying it. Kathy invites everyone into the living room for dessert. As the guests make their way to the living room, Beatriz massages Doug's shoulders. The group meets in the living room for dessert, as they are eating, Jeana reveals she and Doug will be going to Africa in the next couple of days, as she is expecting to be bored since Doug will be out all day. The topic changes to Doug discussing how he hunts various animals in Africa, and begins to pass around a picture of the dead animals he hunted to the other guests, once the phone reaches Beatriz, she immediately becomes alarmed and angry and throws the phone at Doug. Doug laughs it off, alongside the rest of the group, saying not everyone can handle the graphic image. She charges out of the room, and Kathy follows, telling everyone she's had an emotional week.
Beatriz apologizes and promises to make it up to Kathy. Kathy tells her just to go to bed and stop drinking, since she's had an emotional week. Beatriz heads to Tara's room, where she looks up Doug on the computer, coming across his various controversies and legal problems surrounding his businesses. She then goes back outside to see the guests, performing the song she promised Kathy. She sings a song, and gets into a verbal fight with Doug, upsetting Grant who tells her she needs to leave immediately and he is calling a tow truck to come get her car. Kathy attempts to give Beatriz money, but she declines.
Doug follows Beatriz outside, where he tells her no matter what they do, everything is dying. She leaves and gets into the tow truck, then says she has forgotten something inside. Beatriz picks up a letter opener from Grant's office and walks to the foyer, where she sees Doug on the phone. She charges him and stabs him in the throat; however, it proves to be a fantasy. She drops the knife and walks outside, back to the tow truck. As they are driving next to the ocean, she demands the tow truck driver pull over. She descends over rocks to the beach, walks into the ocean and submerges under water, reawakening in her boat on the mangrove swamp of the film's opening, revealing that the opening sequence is actually a reference to the final one where her murdered goat has gone and where she has now ""swum"" to."
21709,2017,"You, Me and Him",British,Daisy Aitkens,,unknown,"https://en.wikipedia.org/wiki/You,_Me_and_Him_(2017_British_film)","Olivia, a career lawyer in her 40's, feels ready to start a family but Alex, a much younger artist, remains unsure. When Olivia reveals that she has already begun fertility treatment and insemination, the couple have an argument. Alex has an encounter with John and wakes up in his bed. When the two women discover that they are each pregnant, the three people's relationships enter complicated and uncharted territory.[2]
"
21708,2017,All the Money in the World,British,Director: Ridley Scott,"Director: Ridley Scott
Cast: Michelle Williams, Christopher Plummer, Mark Wahlberg, Romain Duris, Charlie Plummer",unknown,https://en.wikipedia.org/wiki/All_the_Money_in_the_World,"In 1973, 16-year-old John Paul Getty III (Paul), grandson of oil tycoon J. Paul Getty who was at that time the world's richest private citizen, is kidnapped in Rome by an organized crime ring. The kidnappers demand a ransom of $17 million. Flashbacks show that Paul's parents, Gail Harris and John Paul Getty Jr., were divorced in 1971 due to Getty Jr.'s drug addiction and that Gail rejected any alimony in exchange for full custody of her children in the divorce settlement; therefore she does not have the means to pay the ransom. She travels to Getty's estate to beseech him to pay the ransom but he refuses, stating that it would encourage further kidnappings on his family members. The media picks up on the story, with many believing Gail to be rich herself and blaming her for the refusal to pay the ransom. Meanwhile, Getty asks Fletcher Chace, a Getty Oil negotiator and former CIA operative, to investigate the case and secure Paul's release.
Paul is kept hostage in a remote location in Italy. Initially his captors, particularly Cinquanta, are tolerant with him because his quiet and submissive demeanor causes them few problems. However, things grow increasingly tense as weeks go by without the ransom being paid, far longer than the captors anticipated. Arguments arise over whether to move Paul to a new location as winter is approaching and their hideout is not suitable for cold conditions. Things get worse when one of the kidnappers accidentally shows his face to Paul, prompting one of the others to kill the man for his foolish mistake. His burned and disfigured body is recovered in the river; investigators erroneously identify the body as Paul's, but Gail examines the body and refutes this.
Using the new lead of the body, Chace is able to pinpoint the hideout where Paul is being held. A raid is conducted with several kidnappers being killed, but Paul is no longer there; he had been sold on to a new crime organization. The new captors are much less patient with Paul and negotiate more aggressively with the Getty family to receive their payment. After repeated negotiations with Gail and Chace, and frustration from the captors at how long the process was taking, they lower the asking price to $4 million. Getty finally decides to contribute to the ransom, but only $1 million – this being the maximum amount that he can claim as tax deductible. Moreover, he also will only do so if Gail signs a legal document waiving her parental access rights to Paul and her other children, giving them to Getty's son, her ex-husband. She reluctantly signs them.
The kidnappers cut off one of Paul's ears and mail it to a major newspaper, claiming that they will continue mutilating him until the ransom is paid. Berated by an exasperated Chace, Getty finally relents and agrees to pay the full ransom, also voiding the parental agreement with Gail. Gail and Chace take the money to Italy and follow specific instructions from the captors, leaving the money in a remote location and receiving orders to pick up Paul from a construction site. However, a frightened Paul runs away from the site towards the nearest town, miles away. Meanwhile the captors realize that Chace has broken his word and led the police to them; angry, they decide to find and kill Paul. Chace, Gail, and the captors arrive at the town to look for Paul. One of the kidnappers finds Paul first, but Cinquanta attacks the man in order to allow Paul to escape. Chace and Gail find Paul and smuggle him out of the country to safety.
Getty dies of unrelated causes, and Gail is tasked with managing her children's inherited wealth until they are of age. The company was set up as a charitable trust, which meant that Getty's income was tax-free but also not spendable. He had invested much of it in paintings, sculptures and other artifacts, most of them now reside in the Getty Museum in Los Angeles."
21707,2017,Finding Your Feet,British,Directors: Richard Loncraine,"Directors: Richard Loncraine
Cast: Imelda Staunton, Timothy Spall, Celia Imrie, Joanna Lumley, David Hayman, John Sessions, Josie Lawrence",unknown,https://en.wikipedia.org/wiki/Finding_Your_Feet,"‘Lady’ Sandra Abbott (Imelda Staunton) discovers that her husband of forty years (John Sessions) is having an affair with her best friend (Josie Lawrence), she seeks refuge in London with her estranged, older sister Bif (Celia Imrie). Sandra is a fish out of water next to her outspoken, serial dating, free spirited sibling who lives on an inner-city council estate.[3] But difference is just what Sandra needs and she reluctantly lets Bif drag her along to a community dance class where she meets her sister's friends, Charlie (Timothy Spall), Jackie (Joanna Lumley) and Ted (David Hayman). This colorful group of defiant and energetic third-agers start to show Sandra that retirement is a beginning, and that divorce could be her new lease of life and love."
21706,2017,Paddington 2,British,Directors: Paul King,"Directors: Paul King
Cast: Ben Whishaw, Hugh Bonneville, Sally Hawkins, Brendan Gleeson, Julie Walters, Jim Broadbent, Peter Capaldi, Hugh Grant",unknown,https://en.wikipedia.org/wiki/Paddington_2,"Paddington, having settled with the Brown family in Windsor Gardens, has become popular in his community, offering people emotional support in various ways. To purchase a unique pop-up book of London in Samuel Gruber's antique shop for Aunt Lucy's 100th birthday, Paddington performs several odd jobs and saves his wages, but the book is stolen. Paddington chases the thief, who escapes, and Paddington is framed and arrested. Although Mr. Gruber and the Browns do not believe that Paddington stole the book, with no evidence that the thief even existed, Paddington is wrongfully convicted and jailed. The thief soon returns home and is revealed to be Phoenix Buchanan, an egotistical actor who lives opposite the Browns.
Whilst in prison, Paddington befriends many of the inmates, including the short-tempered chef Knuckles, who hires Paddington, impressed by his marmalade sandwich recipe. The Browns work to clear Paddington's name, putting up sketches of the thief. Buchanan begins using the pop-up book to locate a series of clues within London's famous landmarks, which he believes will unveil the location of a secret treasure, wearing a different disguise for each visit. During their efforts to prove Paddington's innocence, the Browns encounter a fortune teller who informs them that the stolen book leads to the hidden fortune of the original author. They start investigating the landmarks on the popup book and discover a suspicious character (Buchanan) has been visiting each one as well.
With Paddington inside, the prison is a much livelier place, but Paddington struggles to remain positive when the Browns are unable to prove his innocence but keep hunting. Becoming convinced that Buchanan is the culprit, the Browns look for the stolen book inside his house. They find a secret attic where Buchanan's various costumes are stashed, as well as the book itself, discovering that each of the suspicious characters visiting the landmarks were Buchanan. Before they can act further, Buchanan returns home and suspects something is wrong. Meanwhile, the Browns reveal what they have discovered to the police, only to be informed that they need stronger evidence, such as the book with his fingerprints on it, to prove that he is guilty. They miss a prison visit with Paddington, causing Paddington to believe that the Browns have forgotten all about him.
Paddington soon takes part in a prison break alongside several other inmates, including Knuckles, who promises to aid in proving his innocence but promptly abandons the idea in order to leave the country as a free man, inviting Paddington to come with him. Paddington refuses and, whilst roaming the streets and avoiding the police, uses a public telephone to contact the Browns, who assert that Buchanan is the real culprit. To catch him, they arrange to meet at Paddington Station, where a train carrying the supposed location of the hidden fortune is due to leave shortly.
Paddington reaches the station and makes it onto the train just as it leaves - the Browns begin their pursuit on another steam train at the opposite platform. When caught up, Henry Brown and Mrs. Bird board the other train and confront Buchanan, who overwhelms them and makes good his initial escape. Paddington is left trapped in the train's rear carriage, the coupling of which Buchanan severs and switches down a different track, leaving it to crash into a nearby river. Mary Brown tries to rescue Paddington but struggles to open the locked carriage; she is soon assisted by Knuckles and the other inmates, who have a change of heart and decide to help Paddington as promised. Eventually, Henry knocks out Buchanan just as he tries to access the so-called treasure, and he is promptly taken into custody.
Paddington, now declared innocent, becomes very ill after the events, slipping into a short three-day coma yet recovering upon waking up on Aunt Lucy's birthday. With the book taken in as evidence by the police, Paddington is disappointed that he was unable to buy Lucy a present as promised, though soon discovers the Browns, with the help of various other people in the neighbourhood including Mr. Curry, made sure Lucy could come to London and see it for herself. When answering the door to her, Paddington rushes up and hugs her, wishing her a happy birthday.
Meanwhile, Buchanan is sentenced to 10 years in prison. Six months later, he is shown to be putting his experience as a performer to further use, hosting shows for the inmates and providing entertainment throughout the building."
21705,2017,Murder on the Orient Express,British,Directors: Kenneth Branagh,"Directors: Kenneth Branagh
Cast: Kenneth Branagh, Daisy Ridley, Josh Gad, Derek Jacobi, Leslie Odom Jr., Tom Bateman, Penélope Cruz, Willem Dafoe, Judi Dench, Michelle Pfeiffer, Olivia Colman, Lucy Boynton, Johnny Depp",unknown,https://en.wikipedia.org/wiki/Murder_on_the_Orient_Express_(2017_film),"In 1934, famous Belgian detective Hercule Poirot solves a theft at the Church of the Holy Sepulchre in Jerusalem. The obsessive-compulsive—who seeks balance in life, and considers his case-solving ability to see a lie amid truth to be a curse — wants to rest in Istanbul, but must return to London for another case. His friend Bouc, director of the Simplon Orient Express, offers him a room aboard the train.
Unscrupulous businessman Edward Ratchett offers to hire Poirot as his bodyguard during the three-day journey, having received threatening letters from an unknown party, but Poirot refuses. That night, Poirot hears strange noises coming from Ratchett's compartment, and later sees someone in a red kimono running down the hallway. An avalanche derails the train's engine, stranding the passengers.
The next morning, Poirot discovers Ratchett was murdered during the night after having been stabbed a dozen times. Poirot and Bouc investigate the other passengers as repairs begin. Evidence indicates that Ratchett was murdered by one person, and Caroline Hubbard, a fellow passenger, claims that a man had been in her compartment in the night. Poirot discovers a partially burned note connecting Ratchett to the kidnapping of Daisy Armstrong, a child who was abducted from her bedroom and held for ransom. After the ransom was paid, Daisy was found murdered. Ratchett's true identity is revealed: he was John Cassetti, Daisy's kidnapper and murderer. The shock of her death caused her mother Sonia to die after giving premature birth to a stillborn baby; her father, Colonel John Armstrong, then committed suicide. The family's nursemaid Susanne was wrongly suspected of complicity, leading to her being arrested and subsequent suicide in police custody, only to be found innocent afterward.
More evidence is found, including a bloodstained handkerchief, and, in Mrs. Hubbard's compartment, the button of a conductor's uniform. The uniform is later found, as is the red kimono — in Poirot's own suitcase. Hubbard is suddenly stabbed in the back; she survives but cannot identify the culprit. Poirot discovers many of the passengers have direct connections to the Armstrong family and uncovers their hidden pasts. While interviewing governess Mary Debenham, Doctor John Arbuthnot shoots Poirot in the shoulder, claiming responsibility for the murder, but Bouc stops him from killing Poirot. Poirot realizes that Arbuthnot — a medical doctor and former army sniper — never meant to kill him.
Poirot confronts the suspects outside the train, offering two theories of how Cassetti died. The first is simple but does not meet all of the facts: a murderer disguised as a conductor boarded the train at a previous stop, murdered Cassetti, and fled at the stop as the train left. The second is more complex: with every single suspect connected to the Armstrongs, Susanne, or her trial in some way, they all had a motive against Cassetti. Poirot predicts that they acted together. Hubbard is revealed to be Linda Arden, a former stage actress and aspiring director, and Sonia Armstrong's mother.
Hubbard confirms the latter, admitting that she planned the murder and had recruited everyone else to help her. All the other passengers and the Conductor, Pierre Michel (Susanne's brother), took turns stabbing Cassetti. Mary wore the kimono, and Arbuthnot stabbed Hubbard without endangering her life, to convince Poirot of a lone killer. Poirot challenges the passengers and Michel to shoot him with a confiscated gun since he is the only one who can expose their plot; Bouc can lie, but Poirot, obsessed with truth and balance, cannot. Hubbard grabs the gun and tries to kill herself, but it is not loaded; Poirot wanted to see how the suspects would react.
With the train back on track, Poirot concludes that justice is impossible in the case, as Cassetti deserved death; for the first time, Poirot will have to live with a lie and imbalance. He presents the lone killer theory to the Yugoslavian police, allowing the others to leave on the train. As he disembarks, a British Army messenger asks him to investigate a death on the Nile. Poirot accepts the case."
32798,2017,Doss Ramaswamy,Telugu,Unknown,"Nayanthara, Sulile Kumar, Harish Uthaman, Thambi Ramaiah",unknown,https://en.wikipedia.org/wiki/Dora_(2017_film),"The film opens with Pavalakkodi (Nayanthara) in the hospital and her father Vairakannu (Thambi Ramaiah)weeping for her misfortune. Later, the scene cuts to their futures.
They live in a small house. Vairakannu is a single hardworking father who brought her up and Pavalakkodi, his only daughter, takes care of him in his old age and doesn't wish to marry. They lead a happy life. Nearby in an apartment, three thieves enter a house and rob all the jewels from the lady, harass and kill her. To investigate this case a Police officer (Harish Uthaman) arrives at the site and finds no clue about the men and finds a Rajasthani blanket in the house. Upon asking, the house owner and maids say nothing, and therefore the case leads to nothing.
The story moves to Vairakannu, who wishes to go to the Kuladevi temple in their town for which they ask Pavalakkodi's aunt for a car to go there. Her aunt refuses to give them a car and her husband tries to hit Vairakannu for which Pavalakkodi speaks up. She says they both got the position they are in from her father's sacrifice. She adds due to her father's ambassador car, now they are able to run a call taxi business with 20-30 cars and scolds for showing no gratitude. She challenges them that one day she too will open her start up call taxi and reach great heights. Back home, Vairakannu and Pavalakkodi gather money that they have saved in their household objects and go to buy a car. They see several models but fall for a vintage car with no. MDS 13 which looks awkward to the viewers. The night after buying the car Pavalakkodi wakes up hearing strange noises and goes to have a look at the car. She finds a scared cat and it instantly flees upon seeing her. In the morning Vairakannu is fooled by a customer and is kept waiting. In the early night, he is taken to a graveyard and left alone there where the car stops at once. Vairakannu returns home and worries for his daughter because if he dies, who would support her? She then says that she would agree to marry a man who would stay at their house and take care of her father.
Suddenly the phone rings and it is revealed that Pavalakkodi's got a marriage proposal from the same police officer who is investigating the case. The groom's parents like the girl but the police refuses to marry her. Pavalakkodi, in rage, challenges him that she would remain a virgin if he gets a girl who is more beautiful than her.
Later Pavalakkodi gets an order for a Tirupati trip for 20 days.This time she hires a driver who replaces the father and goes with the family to the trip. It is revealed that the guy who sold some bed sheets nearby on the day of the incident is the real culprit and the police officer tries to catch him. It is shown that in the trip where the call taxi is going, the culprit also goes. Suddenly the driver loses control of the car and the cars itself moves towards the criminal. The driver and the family get worried about the car's supernatural ability and ring up Pavalakkodi. She reaches the site and takes her car back. On her way, she too encounters the supernatural ability of the car and the car kills the victim and showcases the shadow of a dog. She then flees from the accident spot but the car follows her. To her surprise, the car parks itself in her backyard and cleans the blood marks by itself with the wipers on. Upon asking a sorceress, she understands that the car is possessed by a dog's ghost which tries to communicate with Pavalakkodi. Upon asking the dog car takes her to the real owner, an old man in a villa. He narrates to her how his granddaughter was connected to a dog called Dora. His granddaughter was an orphan and picked up a roadside dog and named it Dora. She loved Dora a lot. When the girl was out with her grandfather, the same three men attacked them and snatched away all the gold. They harassed and killed the girl and also hit Pavalakkodi who tried to save them. It is revealed that the young girl was the one who donated her heart to Pavalakkodi, then died. But Dora after death possessed the car and believes that the girl lives on as Pavalakkodi and punishes the criminals in front of her. Pavalakkodi too takes revenge for the girl but she rifts with the police officer in the case.She finally manages to kill two others with the help of Dora, saves her father from Mukesh Yadav."
32796,2017,Jay. K,Telugu,Unknown,"Prithviraj Sukumaran, Priya Anand, Tovino Thomas",unknown,https://en.wikipedia.org/wiki/Ezra_(2017_film),"The last person of the Malabar Jews residing in Kochi dies. Eyeing a precious antique possession of the deceased person, an antique seller steals a box with Jewish inscriptions. That is later sold to Priya Raghuram (Priya Anand). Priya is the wife of Ranjan Mathew (Prithviraj Sukumaran), a nuclear waste management specialist. Theirs is a love marriage. Due to work obligations, Ranjan had to move to Kerala and he and Priya shifts to Kerala. Being a Marathi-Malayali, Priya finds it hard to adjust with the shift from Mumbai to Kerala. On a retail therapy Priya buys the box from the antique shop. After she reaches home, she opens the Dybbuk box. Later, paranormal activities are experienced by Ranjan and Priya.
Ranjan is an orphan who was living with his mother's brother Fr. Samuel (Vijayaraghavan). Samuel is invited to Ranjan's house. Samuel feels that something is amiss and he tells Ranjan that the box from the antique shop is a Dybbuk. Ranjan finds more about the Dybbuk from a Rabbi David Benyamin (Babu Antony). He tells Ranjan that the Dybbuk only possesses people without mental stability or children under 3 years. The next day, Rabbi Benyamin is dead and Ranjan finds that Priya is pregnant. He comes to know that his child is possessed. Ranjan finds more about the Dybbuk in his house with the help of Rabbi Marques (Rabbi Benyamin's son)(Sujith Shankar)
They get to know about a story in 1941 Thiru-Kochi. The story revolves around a Jewish boy Abraham Ezra (Sudev Nair) and a low caste Christian girl Rosy (Ann Sheetal) and their beautiful relationship. Ezra and Rosy were serious with their relationship and Ezra wanted to marry Rosy, but in between, they had sexual interaction and eventually Rosy got pregnant. Rosy didn't tell Ezra that she was pregnant . Ezra decides to tell his father about his relationship with rosy but he refuses due to his orthodox way of life. Depressed Ezra sends a letter to Rosy telling her to breakup their relationships and erase him from her life. Rosy,in sorrow commits suicide. Rosy's father finds the letter which was send by Ezra to Rosy and finds that they were in a relationship. He went to meet Ezra and his father. However, he was killed by Ezra and his father. The villagers tried to hit Ezra and they attempted to kill him. Ezra was seriously injured and he was taken to the hospital by his father. The doctors confirms that he is brain dead . Ezra's father decides to take revenge on the people of the society. Ezra's father purposefully kills him to create Dybbuk. Instead of seeing his son in a brain-dead condition, he invoked black magic and made his son's soul enter into a Dybbuk box. The box was created in such a way that the entire society was destroyed once the last Jew was dead. He let the others know that Ezra had died and they then buried Ezra's body, which was really a wooden dummy. For the spirit of Ezra to become a Dybbuk, his body could not be given a proper burial. Ezra's father then took Ezra's body, which was wrapped in a cloth, to the sea and dumped it.
The story comes back to Ranjan. Marques wants the Dybbuk to leave Ranjan and his family. So with the help of A.C.P Shafeer Ahammed (Tovino Thomas), he confirms that Abraham Ezra's story is true. Finally, he decides to exorcise the Dybbuk. But, it is revealed that it is not Priya, but Ranjan whom the spirit of Ezra has possessed. Fr. Samuel tell them that Ranjan, as orphan had mental problems in his childhood and because Ranjan is a nuclear waste management specialist, the Dybbuk would be easily able to destroy the society. At last, Ranjan is exorcised and the dybbuk is made to renter the box. It is then taken to an ocean and dumped exactly like Ezra'a body was dumped.
Later, Priya gives birth to a healthy baby and she and Ranjan are sharing their happy news with Marques. At the ending of the movie, the Dybbuk box is found by some young men who were loafing about the sea shore. They take the box with them planning to open it."
21703,2017,The Bookshop,British,Director: Isabel Coixet,"Director: Isabel Coixet
Cast: Emily Mortimer, Patricia Clarkson, Bill Nighy, Honor Kneafsey, James Lance",unknown,https://en.wikipedia.org/wiki/The_Bookshop_(film),"The film, as the novel does, is set mainly in 1959, and centres around Florence Green, a middle-aged widow, who decides to open a bookshop in the small coastal town of Hardborough, Suffolk. The location chosen is the Old House, an abandoned, damp house said to be infested by ghosts. After many sacrifices, Florence manages to start her business, which grows for about a year after which sales slump. Mr. Brundish, the lonely and mysterious inhabitant of the house at the top of the hill, is Florence's best client. The influential and ambitious Mrs. Gamart, wants and intends to set up an arts centre in the Old House. Mrs. Gamart's nephew, a member of Parliament, sponsors a bill that empowers local councils to buy any historical building that has been left uninhabited for five years. The bill is passed, the Old House is compulsorily purchased, and Florence is evicted."
32795,2017,Okka Kshanam,Telugu,Vi Anand,"Allu Sirish, Surbhi, Seerat Kapoor, Srinivas Avasarala, Jayaprakash",sci-fi thriller,https://en.wikipedia.org/wiki/Okka_Kshanam,"The story starts of with a couple in a parking lot and their son, Jeeva, (Allu Sirish) he there finds Joshna (Surbhi) Quickly they both fall in love and then a few weeks later, Joshna invites Jeeva, to her apartment. She then shows that she enjoys people watching, and two interesting subjects, Srinivas (Srinivas Avasarala) and Swathi (Seerat Kapoor) The young couple constantly feud, and Jeeva chooses to follow around Srinivas who reveals his love story to Jeeva. Remarkably, Srinivas and Swathi are living Jeeva and Joshna's lives a year after. They visit a scientist (Jayaprakash) who says that they have parallel lives, and the final outcome is the same, after a year. When they return to the apartment, they find out that Swathi has been murdered, and Srinivas is the killer. Who really killed Swathi, and is going to murder Joshna, and how Jeeva will protect forms the rest of the story."
32776,2017,Shamanthakamani,Telugu,Sriram Adittya,"Nara Rohit, Sundeep Kishan, Aadi, Sudheer Babu, Rajendra Prasad",action thriller,https://en.wikipedia.org/wiki/Samanthakamani_(film),"The story revolves around 5cr worth of vintage Rolls Royce car called Shamanthakamani owned by a millionaire Krishna (Sudheer Babu) which was stolen from the parking lot of a 5 Star hotel which leads into an aftermath. Inspector Ranjith Kumar (Nara Rohit) is assigned with the job of finding the missing car. During the investigation, Ranjith Kumar suspects three people as accusing; a car mechanic Uma Maheswara Rao / Mahesh Babu (Rajendra Prasad), a villager Siva (Sundeep Kishan) and a middle-class youngster Karthik (Aadi) and arrests them. Rest of the story is what happened to the car? Who is the actual culprit? How does Ranjith Kumar solve the crime?"
